org_id,city,average_bill,rating,rubrics_id,features_id
15903868628669802651,msk,1500.,4.2709677419354835,30776 30774,3501685156 3501779478 20422 3502045016 3502045032 3501618484 11177 11012 2020795524 10894 3501599541 12048 10462 1524 1509 3501498187 11867 1416 3501744275 3501942428 273469383 11704 1189498238 20424 21247 3501481353 3491142672 3501481355 1082283206 11741 3501471642 3501498186 11629 11617 10886 1415 3501513153 1018 246 3501749289 11531
16076540698036998306,msk,500.,4.375,30771,1509 1082283206 273469383 10462 11617 3501779478 3501744275 1524 1018 1116173086 20422
8129364761615040323,msk,500.,4.,31495,10462 11177 11617 11629 1416 1018 11704 11867 3501744275 20282 3502045016 273469383 3502045032
15262729117594253452,msk,500.,4.538812785388128,30776 30770,3501618484 2020795524 11629 11617 1018 11704 21247 11867 246 20422 1416 3501749289 20305
13418544315327784420,msk,500.,4.409090909090909,31495,11617 10462 11177 1416 11867 3501744275 20282 3502045016 11629 273469383 3502045032 1018 11704
4997872545011433005,msk,500.,4.541666666666667,31495,273469383 20422 20282 11629 3501745827 11617 11177 11867 1415 11704 1018 601 3501744275
9129259535187484854,msk,500.,4.015267175572519,30776 30771,273469383 20424 20282 11617 11177 10462 20422 1416 11867 1415 11704 1018 3501744275
8361679950520236967,msk,500.,4.446153846153846,30776 30777,1415 1018 1524 11617 11867 11629 11177 11704 10462 20424 1416 20422 273469383 3493051166
11913692756639492916,spb,500.,3.6,30777,3501744275 3501618484 20424 11741 11617 12048 10462 20422 1416 1018 11629 3501773763
17739408339297875651,spb,500.,4.276218611521418,30771,10462 11177 11617 11629 1018 11704 3501744275 20424 11867 1416 20422 273469383 3501618484
12608002566984191599,spb,500.,3.4285714285714284,31495,3501744275 273469383 3502045032 11867 11617 10462 12048 11177 1416 11704 1018 20282 3502045016
1456099975270739091,spb,500.,4.748091603053435,30770,3502045032 3502045016 3501779478 11617 1018 11177 12048 10462 3501749289 20422 20305 1416 1415
15212612602814703999,spb,500.,4.5,30777 30774 31350,10462 11177 11629 273469383 1018 11704 3501745827 11617 1415 11867 1416 20422 20424
6647514245407759924,spb,500.,5.,31495,3501744275 3502045032 273469383 3502045016 20282 11867 1416 1018 11704 11629 11617 10462 11177
17633878694798900807,spb,500.,4.235294117647059,30519,273469383 20422 20282 11629 11177 10462 1082283206 11704 1018 11867 1415 601 1524
2459140363933845573,spb,500.,3.8181818181818183,30777,11617 11867 1018 11704 11629 20422 1416 3501744275 3501618484 10462 11177 20424 273469383
17123420575086033049,spb,500.,4.22,30776 30774 30777,273469383 20424 1018 11704 11867 1415 20422 1416 11617 10462 11177 3501744275 11629
3427860559993310283,spb,500.,4.143790849673203,30771,20424 3501744275 273469383 3501637468 1018 11704 11629 11617 3501779478 1416 3501749289 3501618484 10462
1914019098031453492,msk,500.,4.18688524590164,30776 30771,20424 273469383 3501513153 3501618484 3501637468 1018 3501779478 3502029228 10462 3501749289 1416 20422
12649619037930145545,msk,500.,4.576923076923077,31350 30770 30776,21247 2020795524 3501481353 3501481355 11867 1524 20422 20305 246 1082283206 1018 11704
1994626751602037958,msk,500.,4.101694915254237,30519 30774,20424 273469383 3501779478 20282 11704 1018 11629 11177 10462 20422 1416 11867 1415
10767547051640932320,msk,500.,4.139240506329114,30774 30771,1018 11704 11867 273469383 3501779478 20424 11617 3501513153 3501744275 10462 11177 20422 1416
8906492197996217916,msk,500.,3.689655172413793,30776 30771,3501744275 1509 20424 10462 3501513153 11617 3501779478 3501618484 11629 1018 11704 273469383 1416
1701381697561871394,msk,500.,4.330645161290323,30776,3501513153 273469383 21247 20424 11867 11629 11177 10462 1082283206 11704 1018 20422 1416
5928853470857579066,msk,500.,4.474285714285714,30776 30771 30519,273469383 20424 1082283206 1018 11704 11867 1415 11629 11177 10462 20422 1416 3501513153
6859752322599071261,msk,500.,4.191666666666666,30770 31286 30776,11629 11177 10462 20305 20422 1416 11867 1415 21247 3501618484 11704 1018 20424
